db,query,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies
ncbi,Anopheles_cruzzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Anopheles_homunculus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Anophelinae,NA,Anopheles,Anopheles homunculus,NA
ncbi,Culex_imitator,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Culicini,Culex,Culex imitator,NA
ncbi,Culex_albipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_aphylactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_inimitabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Culicini,Culex,NA,NA
ncbi,Culex_stonei,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Culicini,Culex,Culex stonei,NA
ncbi,Toxorhynchites_solstitiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Toxorhynchites,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Toxorhynchitinae,NA,Toxorhynchites,NA,NA
ncbi,Wyeomyia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,NA,NA
ncbi,Wyeomyia_palmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_shopei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_worontzowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_davisi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Runchomyia_frontosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_pallidoventer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_daumasturus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_forcipenis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_siphanulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_carioca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_neglectus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_hedys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culicidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,NA,NA,NA,NA,NA
ncbi,Anopheles_bellator,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Anophelinae,NA,Anopheles,Anopheles bellator,NA
ncbi,Limatus_durhami,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Limatus,Limatus durhamii,NA
ncbi,Wyeomyia_edwardsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_mulhensi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_theobaldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Aedes_albopictus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Aedini,Aedes,Aedes albopictus,NA
ncbi,Haemagogus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Aedini,Haemagogus,NA,NA
ncbi,Anopheles_kompii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Anopheles_neivai,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Anophelinae,NA,Anopheles,Anopheles neivai,NA
ncbi,Orthopodomyia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Orthopodmyiini,Orthopodomyia,NA,NA
ncbi,Wyeomyia_abebela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_circumcincta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_melanopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Elmidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Elmidae,NA,NA,NA,NA,NA
ncbi,Wyeomyia_pseudopecten,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia pseudopecten,NA
ncbi,Culex_daumastocampa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_jenningsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_rejector,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Culicini,Culex,Culex rejector,NA
ncbi,Wyeomyia_greyii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Anophelinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Anophelinae,NA,NA,NA,NA
ncbi,Toxorhynchites_purpureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Toxorhynchites_trichopygus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Wyeomyia_splendida,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia splendida,NA
ncbi,Wyeomyia_aphobema,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia aphobema,NA
ncbi,Wyeomyia_forattinii,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Sabethini,Wyeomyia,Wyeomyia forattinii,NA
ncbi,Aedes,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Culicinae,Aedini,Aedes,NA,NA
ncbi,Hydrophilidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Hydrophilidae,NA,NA,NA,NA,NA
ncbi,Toxorhynchites_portoricensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Culex_antillummagnorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Toxorhynchites_guadeloupensis,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Culicidae,Toxorhynchitinae,NA,Toxorhynchites,Toxorhynchites guadeloupensis,NA
ncbi,Culex_bisulcatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Dolichopodidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Dolichopodidae,NA,NA,NA,NA,NA
ncbi,Empididae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Empididae,NA,NA,NA,NA,NA
ncbi,Ephydridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ephydridae,NA,NA,NA,NA,NA
ncbi,Sphaeridiinae_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Trentepohlia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Limoniinae,NA,Trentepohlia,NA,NA
ncbi,Limoniinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Limoniidae,Limoniinae,NA,NA,NA,NA
ncbi,Sphaeridiinae_larva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Periscelididae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Periscelididae,NA,NA,NA,NA,NA
ncbi,Phoridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Phoridae,NA,NA,NA,NA,NA
ncbi,Psychodidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Psychodidae,NA,NA,NA,NA,NA
ncbi,Pericoma,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Psychodidae,Psychodinae,NA,Pericoma,NA,NA
ncbi,Psychoda_romeroii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Sphaerodinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Telmatoscopus,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Psychodidae,Psychodinae,NA,Telmatoscopus,NA,NA
ncbi,Omicrus_ingens_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Alepia_zavortinkii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Alepia_apexalba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Scatopsidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Scatopsidae,NA,NA,NA,NA,NA
ncbi,Omicrus_ingens_larva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Sphaeroceridae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Sphaeroceridae,NA,NA,NA,NA,NA
ncbi,Stratiomyidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Stratiomyidae,NA,NA,NA,NA,NA
